OPD,Day,Clinic,Diagnosis and Condition
10,,Ankle,เท้าปุก
10,,Ankle,เท้าแบน
10,,Foot,เท้าปุก
10,,Foot,เท้าแบน
21,Monday,,Adrenal mass Adrenal Vein Sampling (AVS)
21,Wednesday,,Adrenal mass Adrenal Vein Sampling (AVS)
21,Friday,,Adrenal mass Adrenal Vein Sampling (AVS)
21,Monday,,Adrenal mass Biopsy
21,Wednesday,,Adrenal mass Biopsy
21,Friday,,Adrenal mass Biopsy
21,Tuesday,Skin.Med,ปานแดง ต้องการ Laser
21,Thursday,Skin.Med,ปานแดง ต้องการ Laser
25,,ทันตกรรม,ขูดหินปูน
25,,ทันตกรรม,อุนฟัน
25,,ทันตกรรม,ถอนฟัน
26,Friday,Skin.Med,ปานแดง ต้องการ Laser
26,,Skin,Refer Skin med มหาราชฯ ครั้งแรก
26,,Skin,ผู้ป่วยประสงค์ย้ายมารับการรักษาต่อเนื่องเกี่ยวกับอายุรกรรมโรคผิวหนัง
9,,Skin,ผู้ป่วยเดิม OPD26(Skin) ผิดนัดเกิน 1 ปี
9,,Sx.HBP,TACE
9,,Sx.HBP,PTBD
101,,Sx.HBP,RFA
101,,Sx.HBP,MWA
101,,Sx.HBP,ICGR15
101,,Sx.HBP,HIPEC
101,,Sx.HBP,Symptomatic gall stone
101,,Sx.HBP,Acute pancreatitis without retain ampullary / common bile duct stone
101,,Sx.HBP,Intrahepatic duct stone
101,,Sx.HBP,Acute cholecystitis without common bile duct stone
101,,Sx.GI,Hemorrhoid
101,,Sx.GI,Appendicitis
101,,Sx.GI,Bowel obstruction
101,,Sx.GI,Fistula in ano
101,,Sx.GI,GIST
101,,Sx.GI,มะเร็งทางเดินอาหาร refer for Sx.
101,,Sx.GI,Inguinal Hernia
101,,Sx.GI,Diaphragmatic Hernia
101,,Sx.HNB,ก้อนต่างๆตามร่างกาย
101,,Sx.HNB,ก้อนที่เต้านม
101,,Sx.HNB,CA Breast
101,,Sx.HNB,ยังไม่ได้ผ่าตัด ส่ง OPD101 ได้กรณี refer for Sx.
101,,Sx.HNB,ยังไม่ได้ผ่าตัด ส่ง OPD101 ได้กรณี refer for CMT
101,,Sx.VAS,Refer for AVF
101,,Sx.VAS,เส้นเลือดขอด ( CVI )
101,Tuesday,,Adrenal mass Rerfer for Adrenalectomy
101,Monday,,ก้อนต่างๆตามลำตัว และ ศีรษะ
101,Tuesday,,ก้อนต่างๆตามลำตัว และ ศีรษะ
101,Wednesday,,ก้อนต่างๆตามลำตัว และ ศีรษะ
101,Thursday,,ก้อนต่างๆตามลำตัว และ ศีรษะ
101,Monday,,ก้อนบริเวณขาหนีบ R/O Hernia
101,Tuesday,,ก้อนบริเวณขาหนีบ R/O Hernia
101,Wednesday,,ก้อนบริเวณขาหนีบ R/O Hernia
101,Thursday,,ก้อนบริเวณขาหนีบ R/O Hernia
101,Monday,,ก้อนบริเวณทวารหนัก
101,Wednesday,,ก้อนบริเวณอวัยวะเพศชายหรือใกล้เคียงอวัยวะเพศชาย
101,Thursday,,ก้อนบริเวณอวัยวะเพศชายหรือใกล้เคียงอวัยวะเพศชาย
101,Monday,,ก้อนบริเวณอวัยวะเพศหญิงหรือใกล้เคียงอวัยวะเพศหญิง
