Clinic,Time,warning,,,,,,,,,,,,,,,,,
Endocine,8.00-12.00,"เปิดให้บริการ
08.00 - 12.00 น.
Refer for 1131
สามารถส่ง OPD21 วันพุธ/ศุกร์ ได้
Refer/บันทึกข้อความระบุพบ Endocrine
สามารถส่ง OPD21 วันจันทร์/พุธ/ศุกร์ ได้",,,,,,,,,,,,,,,,,
Onco,8.00-12.00,"Oncologist
จันทร์ : OPD 26 มะเร็งทั่วไปวันจันทร์
อังคาร:OPD9(08.00-12.00)
พุธ - พฤหัสบดี : OPD 110
ศุกร์ : OPD 9 (13.00 - 16.00)",,,,,,,,,,,,,,,,,
Nephro,13.00-16.00,"เปิดให้บริการ
13.00 - 16.00 น.
Refer for Kidney Bx.
สามารถส่ง OPD26 วันพุธ ได้",,,,,,,,,,,,,,,,,
Chest,8.00-12.00,"เปิดให้บริการ
08.00 - 12.00 น.
ไอเรื้อรัง > 2 สัปดาห์ หรือ เสมหะปนเลือด
ต้องเข้าคัดกรองวัณโรคปอด
FLOW R/O TB
Refer for EBUS
สามารถส่ง OPD22 วันจันทร์ ได้",,,,,,,,,,,,,,,,,
Rheumato,8.00-12.00,"เปิดให้บริการ
08.00 - 12.00 น.",,,,,,,,,,,,,,,,,
GI,8.00-12.00,"เปิดให้บริการ
08.00 - 12.00 น.
Refer for ERCP / MRCP / EUS
สามารถส่ง OPD23 วันจันทร์ได้
บางหัตถการต้องส่ง
OPD101 HBP วันอังคาร
นิ่วในถุงน้ำดี / HCC /
Liver mass",,,,,,,,,,,,,,,,,
Spine,,"บางกรณี C-Spine
ทาง Neuro Sx. รับเคส",,,,,,,,,,,,,,,,,
กายภายฟื้นฟู,,"เปิดให้บริการ
08.00 - 11.30 น.
ใบรับรองความพิการ
ด้านการได้ยิน : OPD 6
ด้านการมองเห็น : OPD 7",,,,,,,,,,,,,,,,,
DM,,"*รับเฉพาะเคสเดิม*
*กรณี New Case
มีเอกสาร refer / บันทึกข้อความระบุพบ Endocrine
ชัดเจนสามารถส่งตรงได้
Refer for AVS (Adrenal Vein Sampling)
Refer Endocrine med มหาราชฯ",,,,,,,,,,,,,,,,,
Chest.Med,,"*รับเฉพาะเคสเดิม
*กรณี New Case
มีเอกสาร refer / บันทึกข้อความระบุโรค / หัตถการ เช่น EBUS ชัดเจน : ส่ง OPD 22 ตรงได้",,,,,,,,,,,,,,,,,
ID,,"*กรณี New Case
*มีเอกสาร refer / บันทึกข้อความระบุโรค / หัตถการชัดเจน : ส่ง OPD 22 ตรงได้
*มียาเดิม / ผล Lab ระบุชัดเจน : ส่ง OPD 22 ตรงได้
*Unsafe Sex : ส่ง OPD 22 ตรงได้
*ไม่มี เอกสาร refer / ผล Lab / ยาเดิม : ส่ง OPD 9 ก่อนเท่านั้น",,,,,,,,,,,,,,,,,
Botox,,"รับเฉพาะ Case Consult
จากห้องตรวจของมหาราชฯ
ตรงนัดเท่านั้น",,,,,,,,,,,,,,,,,
ทันตกรรม,,"เปิดให้บริการ
8.00 - 10.00 น.
ทันตกรรมที่มีความซับซ้อน
ติดต่อคณะทันตแพทย์
โทร 053- 944431",,,,,,,,,,,,,,,,,
เปลี่ยนไต,,"*กรณี New Case
มีเอกสาร refer / บันทึกข้อความระบุเพื่อเข้า
โครงการเปลี่ยนไต (KT) ชัดเจน : ส่ง OPD 26 ตรงได้
ไม่มี เอกสาร refer:/ บันทึกข้อความ แต่ประสงค์เข้าโครงการเปลี่ยนไต : แนะนำให้กลับไปพบแพทย์ประจำตัวเรื่องโรคไตเพื่อ
พิจารณาว่าสามารถเข้าโครงการได้หรือไม่ หากเข้าได้ทางแพทย์และโรงพยาบาลเดิมจะมีเอกสารนำส่งผู้ป่วยมาเพื่อเข้าโครงการ
*กรณีผู้ป่วยมาติดต่อไม่ตรงวัน
สามารถลงทะเบียนเข้า Location
"" เปลี่ยนไตและไตเทียม ""
และส่งผู้ป่วยติดต่อที่ชั้น 10 หน่วยเปลี่ยนไต
เพื่อนำเอกสารเข้าระบบไว้ก่อน",,,,,,,,,,,,,,,,,
ไตวาย,,"รับเฉพาะเคส Consult มาตรงนัด
กรณีผู้ป่วยเดิมมาติดต่อไม่ตรงวันนัด
* โทร Consult เป็นรายกรณี
35864 / 35756",,,,,,,,,,,,,,,,,
Sx.HNB,,"เคสผ่าตัดเต้านมแล้วไม่สามารถส่ง OPD 101 ได้ ต้องส่งต่อตาม Plan
- Refer For CMT
- Refer For RT",,,,,,,,,,,,,,,,,
Sx.VAS,,"กรณีมาไม่ตรงวันแต่มีอาการ
* โทร Consult เป็นรายกรณี
35728 / 35729
DVT
ส่ง
OPD9",,,,,,,,,,,,,,,,,
Intervention,,"รับเฉพาะ Case Consult
จากห้องตรวจของมหาราชฯ เท่านั้น
เปิดให้บริการ
13.00 - 16.00 น.",,,,,,,,,,,,,,,,,
Pain clinic,8.00-10.00,"รับเฉพาะ Case Consult จากห้องตรวจของมหาราชฯ เท่านั้น",,,,,,,,,,,,,,,,,
