OPD,Day,Clinic,Time,Age Group,Tel,หมายเหตุ,,,,
22,Monday,Chest.Med,,≥15,"35753 , 36353",,,,,
22,Tuesday,Rheumato.Med,,≥15,"35753 , 36353",,,,,
22,Wednesday,Cardio.Med,,≥15,"35753 , 36353",,,,,
22,Thursday,ID.Med,,≥15,"35753 , 36353",,,,,
22,Friday,ID.Med,,≥15,"35753 , 36353",,,,,
23,Monday,GI.Med,,≥15,"35754 , 36354",,,,,
23,Tuesday,Hemato.Med,,≥15,"35754 , 36354",,,,,
23,Wednesday,ไม่มีคลินิก,,≥15,"35754 , 36354",,,,,
23,Thursday,Hemato.Med,,≥15,"35754 , 36354",,,,,
23,Friday,Botox,,≥15,"35754 , 36354",,,,,
24,Monday,จิตเวช,,≥15,"35755 , 36755",,,,,
24,Tuesday,จิตเวช,,≥15,"35755 , 36755",,,,,
24,Wednesday,จิตเวช,,≥15,"35755 , 36755",,,,,
24,Wednesday,เลิกบุหรี่สุรา,,≥15,"35755 , 36755",,,,,
24,Thursday,จิตเวช,,≥15,"35755 , 36755",,,,,
24,Friday,จิตเวช,,≥15,"35755 , 36755",,,,,
24,Monday,จิตเวช,,<15,"35755 , 36755",,,,,
24,Tuesday,จิตเวช,,<15,"35755 , 36755",,,,,
24,Wednesday,จิตเวช,,<15,"35755 , 36755",,,,,
24,Thursday,จิตเวช,,<15,"35755 , 36755",,,,,
24,Friday,จิตเวช,,<15,"35755 , 36755",,,,,
25,Monday,ทันตกรรม,,≥15,"35699 , 36399",,,,,
25,Tuesday,ทันตกรรม,,≥15,"35699 , 36399",,,,,
25,Wednesday,ทันตกรรม,,≥15,"35699 , 36399",,,,,
25,Thursday,ทันตกรรม,,≥15,"35699 , 36399",,,,,
25,Friday,ทันตกรรม,,≥15,"35699 , 36399",,,,,
26,Monday,Onco,,≥15,"35756 , 36766",,,,,
26,Monday,เปลี่ยนไต,,≥15,"35756 , 36766",,,,,
26,Tuesday,Skin.Med,,≥15,"35756 , 36766",,,,,
26,Wednesday,Nephro,,≥15,"35756 , 36766",,,,,
26,Thursday,Skin.Med,,≥15,"35756 , 36766",,,,,
26,Friday,Skin.Med,,≥15,"35756 , 36766",,,,,
26,Friday,ไตวาย,,≥15,"35756 , 36766",,,,,
27,Monday,ID,,<15,35757,,,,,
27,Monday,จิตเวช,,<15,35758,,,,,
27,Tuesday,GI,,<15,35759,,,,,
27,Tuesday,พัฒนาการ,,<15,35760,,,,,
27,Tuesday,Vaccine,,<15,35761,,,,,
27,Wednesday,Neuro,,<15,35762,,,,,
27,Thursday,Skin,,<15,35763,,,,,
27,Thursday,Chest,,<15,35764,,,,,
27,Thursday,Rheumato,,<15,35765,,,,,
27,Thursday,จิตเวช,,<15,35766,,,,,
27,Thursday,พัฒนาการ,,<15,35767,,,,,
27,Thursday,Vaccine,,<15,35768,,,,,
27,Friday,Cardio,,<15,35769,,,,,
28,Monday,เด็กป่วยทั่วไป,,<15,"35758 , 36358",,,,,
28,Tuesday,เด็กป่วยทั่วไป,,<15,"35758 , 36358",,,,,
28,Wednesday,เด็กป่วยทั่วไป,,<15,"35758 , 36358",,,,,
28,Thursday,เด็กป่วยทั่วไป,,<15,"35758 , 36358",,,,,
28,Friday,เด็กป่วยทั่วไป,,<15,"35758 , 36358",,,,,
29,Monday,ภูมิแพ้,,<15,35759,,,,,
29,Monday,Endocine,,<15,35760,,,,,
29,Tuesday,Hemato,,<15,35761,,,,,
29,Wednesday,Endocine,,<15,35762,,,,,
29,Thursday,Nephro,,<15,35763,,,,,
29,Friday,Hemato,,<15,35764,,,,,
101,Monday,Sx.GI,,≥15,"35728 , 35729",,,,,
101,Tuesday,Sx.HBP,,≥15,"35728 , 35729",,,,,
101,Wednesday,Sx.HNB,,≥15,"35728 , 35729",,,,,
101,Thursday,Sx.VAS,,≥15,"35728 , 35729",,,,,
101,Friday,ไม่มีคลินิก,,≥15,"35728 , 35729",,,,,
110,Monday,รังสีรักษา,,≥15,"34605 , 35726",,,,,
110,Tuesday,รังสีรักษา,,≥15,"34605 , 35726",,,,,
110,Tuesday,Intervention,,≥15,"34605 , 35726",,,,,
